Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
SCGB2A2	-19.107	0
HSPA1A	-16.115	0
EMB	15.504	0
MRPL45	14.392	0
ME1	13.021	0
HIST1H3C	-12.926	0
BEX3	12.741	0
FMOD	-12.573	0
GUCY1A2	-12.19	0
GPX1	-12.056	0
SNCG	-11.707	0
NR3C1	11.641	0
CNN3	-11.296	0
SNRPN	-11.229	0
KLK11	10.942	0
HSPA1A	10.667	0
PGLYRP2	-10.647	0
TBX2	10.599	0
HLA-A	-10.525	0
HLA-A	-10.525	0
DKK1	10.356	0
SPARC	-10.321	0
ADRA2A	-10.292	0
XIST	-10.248	0
AGPS	-9.81	0
SERPINA5	-9.786	0
BMP7	9.741	0
TMEM150C	9.708	0
SYT13	-9.445	0
AKR7A3	-9.433	0
MGP	-9.363	0
ARHGDIB	-9.33	0
ANXA1	-9.144	0
HLA-C	-9.129	0
MIR3648-2	-9.127	0
MIR3648-1	-9.127	0
ZNF655	-9.127	0
A2M	-9.065	0
ACOX2	-8.939	0
LY6K	-8.667	0
RYR2	-8.617	0
LAMB3	-8.569	0
SCGB1D2	-8.537	0
ETFB	8.433	0
PYCR1	8.401	0
SERPINA1	-8.371	0
ZBTB18	-8.177	0
RNR1	-8.105	0
IFI44L	8.103	0
FAM83F	-8.046	0
PPM1E	8.018	0
HENMT1	7.918	0
RNR2	-7.802	0
HSPA1B	7.8	0
FHL2	-7.76	0
CYP2B7P	-7.667	0
ZNF264	-7.651	0
DUSP6	-7.567	0
VTCN1	-7.405	0
FZD7	-7.086	0
AMBP	-7.001	0
MACC1	-6.893	0
TRIL	-6.735	0
RDH16	-6.723	0
ARHGAP29	-6.713	0
PAK1	-6.554	0
CAPS	-6.488	0
RAB11FIP1	-6.452	0
BMP5	-6.448	0
CLSTN2	-6.302	0
TMEM56	-6.271	0
UGT1A6	-6.256	0
NPY1R	-6.178	0
HSPA1B	-6.173	0
DSCAM-AS1	6.123	0
BCAS3	6.054	0
CYBRD1	-6.023	0
APOD	-6.008	0
OGFRL1	-5.893	0
EPHX1	-5.68	0
PLEKHB1	-5.628	0
PRRC2A	-5.557	0
BCAR3	-5.412	0
RPS6KB1	5.387	0
REPS2	-5.336	0
CRABP2	-5.331	0
ABCD3	-5.283	0
TXNIP	5.202	0
CDH1	5.17	0
ALDH2	-5.139	0
SULF2	5.121	0
NCOA3	5.098	0
TRIM37	5.08	0
BAMBI	5.08	0
GLUL	-5.059	0
PFDN4	4.827	0
ITGA6	-4.786	0
PLPP5	-4.76	0
DDHD2	-4.654	0
SEPT10	-4.627	0
AKR1C2	-4.596	0
HEATR6	4.56	0
NPNT	-4.552	0
SLC30A1	-4.53	0
ADCY1	-4.418	0
ACER3	-4.397	0
PPM1D	4.34	0
LMX1B	-4.316	0
ASH2L	-4.298	0
BRIP1	4.23	0
PC	-4.06	0
CLU	-4.058	0
SLC39A8	-4.157	1.01036424574535e-320
FNBP1L	-4.014	1.12646967251804e-320
ZNF703	-4.22	2.12073231886543e-318
LGI1	-8.336	2.77200718288513e-316
PFN2	6.636	7.59565684116063e-316
RPL22L1	4.481	8.65959920732114e-313
PLXNA2	-6.886	1.00759291473577e-312
TMTC1	-5.273	3.77091264694647e-312
MDFIC	-9.769	1.21244204282007e-311
OLFML3	-9.049	2.02028412815644e-308
CYB5R2	-8.664	2.24857943142488e-308
B4GALNT3	-4.869	7.38161542365783e-307
ERLIN2	-3.742	6.30204259020396e-306
BAG4	-3.787	8.37052944542358e-304
GAMT	-4.881	1.12897102893141e-303
ANKRD30A	-7.295	1.27387197183794e-303
COL12A1	-5.578	6.90349342292056e-300
AMOTL1	8.042	1.32938325791651e-298
USP32	4.123	4.31216440056506e-297
TCF19	-14.709	4.84554812694278e-297
NPY5R	-6.291	1.13605403403343e-296
CTSB	-3.767	5.08950604942506e-295
NSD3	-3.642	4.09423036468357e-294
KCNH1	-8.648	2.923597207381e-293
SETBP1	-7.398	6.51089807499848e-293
MET	4.366	1.5778616526019e-292
PHLDA1	-6.695	1.5211720477525e-291
MARCKS	5.506	1.81837061313117e-290
CTSZ	-5.347	5.67624505115941e-290
EFHD2	-3.991	2.10462958015554e-287
ARRDC4	5.162	9.52835455927682e-283
LRRN2	-6.251	8.18145343372039e-280
PLS3	-8.254	6.60210177260391e-279
IFIT1	5.107	8.25049622037716e-279
CARS	-5.231	1.80758062079801e-278
ABLIM3	-5.192	3.09018744201388e-278
SDC2	-5.226	8.89765924213463e-278
SLC44A3	-6.282	1.88634502001348e-277
LAMC2	-5.86	6.36971359617812e-277
FZD6	7.762	7.60593153795336e-276
BCAM	-4.485	6.43127231916275e-275
TDRD1	10.386	6.354047770195e-274
NRCAM	4.603	3.32220306383124e-270
RERG	-3.944	1.28525523782542e-268
CDCP1	-7.629	4.50555421514008e-268
